id,fkPreparazione,fkAlimento,quantita,fkTipoQuantita,note,dataInserimento,utenteInserimento,dataCancellazione,utenteCancellazione
424,79,626.0,0.1,1,,,,,
425,79,529.0,0.1,1,,,,,
426,80,425.0,200.0,1,ALLERGENE,2020-02-06 14:17:57.963000,m.crea,,
428,80,451.0,5.0,1,,,,,
429,80,574.0,1.0,1,,,,,
430,80,188.0,8.0,1,,,,,
431,80,626.0,0.1,1,,,,,
432,80,462.0,8.0,1,,,,,
433,80,757.0,5.0,1,ALLERGENE,2023-03-27 14:09:15.883000,m.cannarozzo,,
434,80,3.0,4.0,1,ALLERGENE,2020-02-06 14:18:05.140000,m.crea,,
435,80,133.0,4.0,1,ALLERGENE,2023-03-27 14:09:26.453000,m.cannarozzo,,
436,81,560.0,200.0,1,ALLERGENE,2020-02-06 14:14:50.340000,m.crea,,
437,81,322.0,15.0,1,ALLEREGENE,2020-02-06 14:15:06.143000,m.crea,,
438,81,146.0,10.0,1,,,,,
439,81,191.0,15.0,1,,,,,
440,81,462.0,15.0,1,,,,,
441,81,518.0,20.0,1,,,,,
442,81,687.0,10.0,1,,,,,
443,81,626.0,0.1,1,,,,,
444,81,529.0,0.1,1,,,,,
445,81,451.0,8.0,1,,,,,
446,81,574.0,0.1,1,,,,,
447,82,627.0,200.0,1,ALLERGENE,2020-02-06 14:25:35.187000,m.crea,,
448,82,451.0,5.0,1,,,,,
449,82,492.0,10.0,1,ALLERGENE,2020-02-06 14:25:40.397000,m.crea,,
450,82,8.0,0.1,1,,,,,
451,82,626.0,0.1,1,,,,,
452,82,529.0,0.1,1,,,,,
453,82,574.0,0.1,1,,,,,
454,82,687.0,1.0,1,,,,,
455,83,557.0,120.0,1,,,,,
456,83,794.0,10.0,1,ALLERGENE,2020-02-06 14:04:45.417000,m.crea,,
457,83,254.0,5.0,1,ALLERGENE,2020-02-06 14:05:21.280000,m.crea,,
458,83,574.0,0.1,1,,,,,
459,83,626.0,0.1,1,,,,,
460,83,529.0,0.1,1,,,,,
461,84,794.0,100.0,1,ALLERGENE,2020-02-06 14:33:10.133000,m.crea,,
462,84,451.0,5.0,1,,,,,
464,84,626.0,0.1,1,,,,,
465,84,529.0,0.1,1,,,,,
466,84,502.0,5.0,1,ALLERGENE,2020-02-06 14:33:15.547000,m.crea,,
467,85,557.0,120.0,1,,,,,
468,85,492.0,5.0,1,ALLERGENE,2020-02-06 14:07:17.300000,m.crea,,
469,85,254.0,2.0,1,ALLERGENE,2020-02-06 14:07:22.370000,m.crea,,
470,85,650.0,2.0,1,ALLERGENE,2020-02-06 14:07:37.500000,m.crea,,
471,85,794.0,10.0,1,ALLEREGNE,2020-02-06 14:07:06.347000,m.crea,,
472,85,626.0,0.1,1,,,,,
473,85,454.0,10.0,1,ALLERGENE,2020-05-19 13:40:37.083000,m.cannarozzo,,
474,27,789.0,0.1,1,ALLERGENE,2023-02-16 08:11:59.137000,f.gallo,,
475,27,565.0,0.1,1,,,,,
477,27,146.0,0.1,1,,,,2023-11-19 11:17:38.197000,m.cannarozzo
478,27,188.0,0.1,1,,,,2023-11-19 11:17:42.707000,m.cannarozzo
479,27,760.0,0.1,1,,,,,
480,27,553.0,0.1,1,,,,,
481,27,626.0,0.1,1,,,,,
482,37,95.0,0.1,1,ALLERGENE,2023-02-16 08:15:55.050000,f.gallo,,
483,86,511.0,30.0,1,ALLERGENE,2023-02-08 13:00:04.380000,f.gallo,,
484,86,95.0,200.0,1,ALLERGENE,2023-02-08 12:59:56.683000,f.gallo,,
485,87,511.0,80.0,1,ALLERGENE,2023-02-20 08:07:41.590000,m.cannarozzo,,
487,88,667.0,200.0,1,,,,,
488,88,451.0,12.0,1,,,,,
489,88,626.0,0.1,1,,,,,
490,89,788.0,250.0,1,,,,,
491,89,451.0,12.0,1,,,,,
492,89,626.0,0.1,1,,,,,
493,90,157.0,250.0,1,,,,,
494,90,451.0,12.0,1,,,,,
495,90,626.0,0.1,1,,,,,
496,91,244.0,200.0,1,,,,,
497,91,451.0,12.0,1,,,,,
498,91,626.0,0.1,1,,,,,
499,92,797.0,300.0,1,,,,,
500,92,451.0,12.0,1,,,,,
501,92,626.0,0.1,1,,,,,
502,93,545.0,200.0,1,ALLERGENE,2023-03-27 11:38:23.527000,m.cannarozzo,,
503,93,451.0,12.0,1,,,,,
504,93,188.0,30.0,1,,,,,
506,93,626.0,0.1,1,,,,,
507,94,179.0,300.0,1,,,,,
508,94,451.0,12.0,1,,,,,
509,94,626.0,0.1,1,,,,,
510,95,518.0,200.0,1,,,,,
511,95,356.0,30.0,1,ALLERGENE,2023-02-16 10:34:59.803000,f.gallo,,
512,95,506.0,3.0,1,ALLERGENE,2023-02-16 10:35:07.163000,f.gallo,,
513,95,105.0,3.0,1,ALLERGENE,2023-02-16 10:35:12.320000,f.gallo,,
514,96,146.0,200.0,1,,,,,
515,96,451.0,12.0,1,,,,,
516,96,626.0,0.1,1,,2021-10-25 13:51:16.153000,g.diana,,
517,96,574.0,1.0,1,,,,,
518,97,412.0,250.0,1,,,,,
519,97,451.0,12.0,1,,,,,
521,97,626.0,0.1,1,,,,,
522,97,57.0,0.1,1,,,,,
523,98,94.0,250.0,1,,,,,
524,98,1.0,2.0,1,ALLERGENE,2020-02-06 14:34:10.023000,m.crea,,
525,98,133.0,2.0,1,ALLERGENE,2023-02-20 09:52:47.340000,m.cannarozzo,2023-04-29 16:04:35.997000,m.cannarozzo
526,98,451.0,12.0,1,,,,,
527,98,626.0,0.1,1,,,,,
529,99,798.0,200.0,1,,,,,
530,99,454.0,5.0,1,ALLERGENE,2020-02-06 14:41:27.603000,m.crea,,
531,99,626.0,0.1,1,,,,,
532,100,279.0,250.0,1,,,,,
533,100,451.0,12.0,1,,,,,
534,100,626.0,0.1,1,,,,,
535,101,161.0,250.0,1,,,,,
536,101,188.0,30.0,1,,,,,
537,101,4.0,20.0,1,,,,,
538,101,3.0,2.0,1,ALLERGENE,2020-02-06 14:36:30.517000,m.crea,,
539,101,133.0,2.0,1,,,,,
540,101,789.0,0.1,1,ALLERGENE,2020-02-06 14:36:36.053000,m.crea,,
541,97,8.0,0.1,1,,,,,
542,102,511.0,80.0,1,ALLERGENE,2023-02-20 08:12:08.930000,m.cannarozzo,,
